scheduling_algorithm,process_no,ni,batch_size,time_quantum,start_time,num_wait_iters,total_waiting_time,turn_around_time
fcfs,0,10000,100,2147483647,1636800685.309850982,100,00.000004,00.000159
fcfs,1,250000,100,2147483647,1636800685.309866768,2500,00.002130,00.038921
fcfs,2,25000,100,2147483647,1636800685.309907366,250,00.039586,00.041615
fcfs,0,10000,100,2147483647,1636800685.358081378,100,00.000002,00.000156
fcfs,1,250000,100,2147483647,1636800685.358138711,2500,00.002117,00.039102
fcfs,2,50000,100,2147483647,1636800685.358161311,500,00.041603,00.045467
fcfs,0,10000,100,2147483647,1636800685.409894799,100,00.000002,00.000156
fcfs,1,250000,100,2147483647,1636800685.409885817,2500,00.002113,00.039108
fcfs,2,75000,100,2147483647,1636800685.409941763,750,00.039540,00.045407
fcfs,0,10000,100,2147483647,1636800685.460164761,100,00.000002,00.000157
fcfs,1,250000,100,2147483647,1636800685.460152709,2500,00.002135,00.039108
fcfs,2,100000,100,2147483647,1636800685.460205151,1000,00.039554,00.047392
fcfs,0,10000,100,2147483647,1636800685.513062688,100,00.000002,00.000157
fcfs,1,250000,100,2147483647,1636800685.513079913,2500,00.002160,00.038925
fcfs,2,250000,100,2147483647,1636800685.513121286,2500,00.039451,00.058867
fcfs,0,10000,100,2147483647,1636800685.578312685,100,00.000010,00.000164
fcfs,1,250000,100,2147483647,1636800685.578318992,2500,00.004157,00.040777
fcfs,2,500000,100,2147483647,1636800685.578368415,5000,00.043781,00.082305
fcfs,0,10000,100,2147483647,1636800685.666190127,100,00.000002,00.000156
fcfs,1,250000,100,2147483647,1636800685.666164899,2500,00.002113,00.039017
fcfs,2,750000,100,2147483647,1636800685.666210023,7500,00.039719,00.098306
fcfs,0,10000,100,2147483647,1636800685.771688839,100,00.000002,00.000156
fcfs,1,250000,100,2147483647,1636800685.771693694,2500,00.002130,00.039652
fcfs,2,1000000,100,2147483647,1636800685.771766681,10000,00.041812,00.119938
fcfs,0,10000,100,2147483647,1636800685.897456341,100,00.000008,00.000195
fcfs,1,500000,100,2147483647,1636800685.897466893,5000,00.002254,00.075887
fcfs,2,10000,100,2147483647,1636800685.897567404,100,00.076887,00.077709
fcfs,0,10000,100,2147483647,1636800685.982172017,100,00.000002,00.000157
fcfs,1,500000,100,2147483647,1636800685.982230524,5000,00.002197,00.076269
fcfs,2,25000,100,2147483647,1636800685.982244148,250,00.077030,00.078951
fcfs,0,10000,100,2147483647,1636800686.066198305,100,00.000002,00.000156
fcfs,1,500000,100,2147483647,1636800686.066183552,5000,00.002241,00.075458
fcfs,2,50000,100,2147483647,1636800686.066236347,500,00.078059,00.081990
fcfs,0,10000,100,2147483647,1636800686.154546370,100,00.000002,00.000162
fcfs,1,500000,100,2147483647,1636800686.154571698,5000,00.002206,00.076164
fcfs,2,75000,100,2147483647,1636800686.154624881,750,00.078083,00.083971
fcfs,0,10000,100,2147483647,1636800686.244554309,100,00.000002,00.000159
fcfs,1,500000,100,2147483647,1636800686.244575806,5000,00.002227,00.076222
fcfs,2,100000,100,2147483647,1636800686.244630247,1000,00.077105,00.084941
fcfs,0,10000,100,2147483647,1636800686.335620108,100,00.000002,00.000157
fcfs,1,500000,100,2147483647,1636800686.335648367,5000,00.002187,00.076602
fcfs,2,250000,100,2147483647,1636800686.335696155,2500,00.076990,00.096550
fcfs,0,10000,100,2147483647,1636800686.438725988,100,00.000002,00.000156
fcfs,1,500000,100,2147483647,1636800686.438772985,5000,00.002234,00.075365
fcfs,2,500000,100,2147483647,1636800686.438788715,5000,00.077118,00.115081
fcfs,0,10000,100,2147483647,1636800686.560962321,100,00.000002,00.000157
fcfs,1,500000,100,2147483647,1636800686.560953616,5000,00.002212,00.076345
fcfs,2,750000,100,2147483647,1636800686.561016546,7500,00.078516,00.137136
fcfs,0,10000,100,2147483647,1636800686.705515101,100,00.000002,00.000156
fcfs,1,500000,100,2147483647,1636800686.705518605,5000,00.002212,00.075311
fcfs,2,1000000,100,2147483647,1636800686.705567122,10000,00.078189,00.155665
fcfs,0,10000,100,2147483647,1636800686.866904880,100,00.002033,00.002188
fcfs,1,750000,100,2147483647,1636800686.866940456,7500,00.006382,00.117969
fcfs,2,10000,100,2147483647,1636800686.867014386,100,00.120555,00.121415
fcfs,0,10000,100,2147483647,1636800686.995072541,100,00.000006,00.000161
fcfs,1,750000,100,2147483647,1636800686.995085815,7500,00.002334,00.112499
fcfs,2,25000,100,2147483647,1636800686.995158846,250,00.114429,00.116418
